task	encoder	variant	split	selected_for_final_eval	n	acc	macro_f1	brier	f1_support	f1_contradict	f1_not_enough_info
scifact	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	majority_train	dev	False	339	0.40707964601769914	0.19287211740041932	1.1858407079646018	0.578616352201258	0.0	0.0
scifact	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c0.01_cwnone	inner_val	False	184	0.4945652173913043	0.44679455689249553	0.6424083069033827	0.4635761589403974	0.18666666666666665	0.6901408450704225
scifact	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c0.1_cwnone	inner_val	False	184	0.5108695652173914	0.48073011160591567	0.7401945487587597	0.4539007092198581	0.2790697674418605	0.7092198581560283
scifact	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c1.0_cwnone	inner_val	False	184	0.5163043478260869	0.4905608442044449	0.8181905501439944	0.4492753623188406	0.31818181818181823	0.704225352112676
scifact	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c10.0_cwnone	inner_val	False	184	0.5108695652173914	0.4836762976161362	0.836995338120194	0.45714285714285713	0.29885057471264365	0.6950354609929078
scifact	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c0.01_cwbalanced	inner_val	False	184	0.5054347826086957	0.48594502251902466	0.6691744133491967	0.43795620437956206	0.3191489361702128	0.7007299270072992
scifact	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c0.1_cwbalanced	inner_val	False	184	0.5	0.4773572500993706	0.7630274729552712	0.417910447761194	0.29473684210526313	0.7194244604316546
scifact	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c1.0_cwbalanced	inner_val	False	184	0.5108695652173914	0.4855043112706741	0.8301073363404471	0.4411764705882353	0.31111111111111117	0.704225352112676
scifact	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c10.0_cwbalanced	inner_val	False	184	0.5163043478260869	0.49046227940375237	0.8473727037924934	0.4525547445255474	0.3146067415730337	0.704225352112676
scifact	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c1.0_cwnone_selected_on_scifact_inner_val	dev	True	339	0.48672566371681414	0.43810296567502904	0.8519487982263684	0.43283582089552236	0.14864864864864866	0.732824427480916
