config_name	prompt_mode	n_seeds	accuracy_mean	macro_f1_mean	brier_mean	f1_yes_mean	f1_no_mean	f1_maybe_mean	accuracy_sd	macro_f1_sd	brier_sd	f1_yes_sd	f1_no_sd	f1_maybe_sd	delta_accuracy_vs_question_context	delta_macro_f1_vs_question_context	delta_brier_vs_question_context	delta_f1_yes_vs_question_context	delta_f1_no_vs_question_context	delta_f1_maybe_vs_question_context	pred_yes_frac_mean	pred_no_frac_mean	pred_maybe_frac_mean
agent_aux_a20f5b7	context_only	5	0.45466660000000003	0.318726	0.6716882	0.5794425999999999	0.3243718	0.052363599999999996	0.034447854313440184	0.023849171170084702	0.01942622409785285	0.05248091051801602	0.05708676815777891	0.08023099790479986	-0.010666799999999976	-0.002231800000000006	0.0013855999999999868	-0.007908600000000043	-0.013758400000000004	0.014972199999999991	0.62	0.32666666666666666	0.05333333333333333
agent_aux_a20f5b7	context_removed	5	0.4	0.28605179999999997	0.699047	0.46328320000000006	0.2513192	0.1435524	0.10603951569580088	0.045798737315563616	0.08170039660246457	0.24512992269141687	0.14940390529601294	0.06700013420359693	-0.06533339999999999	-0.03490600000000005	0.028744400000000003	-0.1240679999999999	-0.08681099999999997	0.10616099999999999	0.5453333333333333	0.2613333333333333	0.19333333333333333
agent_aux_a20f5b7	question_context	5	0.4653334	0.3209578	0.6703026	0.5873512	0.3381302	0.037391400000000005	0.03508718031275811	0.02190917930229245	0.01955135203253216	0.05710712361606038	0.058345342815001096	0.05140752833778337	0.0	0.0	0.0	0.0	0.0	0.0	0.6266666666666667	0.33066666666666666	0.04266666666666667
agent_aux_a20f5b7	question_only	5	0.3826666	0.2716402	0.762139	0.4008482	0.27134460000000005	0.1427284	0.13569591986054702	0.054452797161394756	0.09883710448510723	0.2836998607722605	0.16701505514713338	0.08148822497944105	-0.08266679999999998	-0.04931760000000002	0.09183640000000004	-0.18650299999999997	-0.06678559999999995	0.105337	0.47333333333333333	0.304	0.22266666666666665
agent_aux_a20f5b7	question_shuffled	5	0.4653334	0.32522639999999997	0.6645011999999999	0.5865324	0.3393532	0.0497932	0.03105575988927015	0.023881066931776704	0.018740019282273986	0.05164740988471735	0.062154135346732975	0.04679608777665073	0.0	0.004268599999999956	-0.005801400000000068	-0.0008188000000000084	0.0012230000000000296	0.012401799999999998	0.6199999999999999	0.33466666666666667	0.04533333333333334
agent_aux_a20f5b7	shuffled_context	5	0.4453334	0.3089344	0.6861512000000001	0.571509	0.3048352	0.0504598	0.03508703781027974	0.028903511037588512	0.03602331990114177	0.048910288922679714	0.028851894863249468	0.04735435820703307	-0.020000000000000018	-0.012023400000000017	0.0158486000000001	-0.015842199999999917	-0.03329500000000002	0.013068399999999994	0.632	0.32133333333333336	0.04666666666666667
random_primary_best_7147e14	context_only	5	0.5506664	0.241191	0.5707484	0.7097798	0.0137932	0.0	0.005962698868800962	0.00829357612854672	0.004720768189606466	0.005961804441609921	0.030842532827250097	0.0	0.0	0.0020407999999999815	-0.0004743999999998749	-0.0005277999999999672	0.0066504	0.0	0.9906666666666666	0.009333333333333334	0.0
random_primary_best_7147e14	context_removed	5	0.5039998	0.2803938	0.5897094	0.6221836000000001	0.2189978	0.0	0.06491023545404838	0.036717915759203995	0.011203907858421527	0.1368254857046011	0.17719313491272737	0.0	-0.0466666	0.04124360000000002	0.01848660000000013	-0.08812399999999987	0.211855	0.0	0.776	0.22399999999999998	0.0
random_primary_best_7147e14	question_context	5	0.5506664	0.2391502	0.5712227999999999	0.7103075999999999	0.0071428	0.0	0.005962698868800962	0.0037302086000651504	0.004595298597479827	0.004781607763085547	0.0159717863496855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9933333333333334	0.006666666666666666	0.0
random_primary_best_7147e14	question_only	5	0.472	0.2792758	0.5938788	0.5874708	0.2503572	0.0	0.06080920069364504	0.03875255745367006	0.010411052357951178	0.10072968599524174	0.1840995442490285	0.0	-0.07866640000000003	0.04012560000000001	0.02265600000000012	-0.12283679999999997	0.2432144	0.0	0.7026666666666667	0.29733333333333334	0.0
random_primary_best_7147e14	question_shuffled	5	0.5506664	0.241191	0.5711109999999999	0.7097798	0.0137932	0.0	0.005962698868800962	0.00829357612854672	0.004871158537760809	0.005961804441609921	0.030842532827250097	0.0	0.0	0.0020407999999999815	-0.00011179999999999524	-0.0005277999999999672	0.0066504	0.0	0.9906666666666666	0.009333333333333334	0.0
random_primary_best_7147e14	shuffled_context	5	0.549333	0.23872719999999997	0.5737446	0.7091638	0.007017600000000001	0.0	0.008944271909999175	0.002784351845582746	0.0033214466426543343	0.007339222315749822	0.015691830638902525	0.0	-0.0013334000000000401	-0.00042300000000003446	0.0025218000000001295	-0.001143799999999917	-0.0001251999999999998	0.0	0.992	0.008	0.0
