split	model	display_name	group	label	support_fraction	predicted_fraction	precision	recall	f1	f1_ci_low	f1_ci_high
val	majority_train	Majority	baseline	yes	0.5533333333333333	1.0	0.5533333333333333	1.0	0.7124463519313305	0.6425339366515836	0.7755102040816326
val	majority_train	Majority	baseline	no	0.34	0.0	0.0	0.0	0.0	0.0	0.0
val	majority_train	Majority	baseline	maybe	0.1066666666666666	0.0	0.0	0.0	0.0	0.0	0.0
val	manual_baseline_f1664dd	Manual baseline	manual	yes	0.5533333333333333	0.7813333333333332	0.5510536803733304	0.7783132530120482	0.6446831563590558	0.5794125027391015	0.7026786638261788
val	manual_baseline_f1664dd	Manual baseline	manual	no	0.34	0.2053333333333333	0.3559463150929028	0.2156862745098039	0.2667002510360078	0.1963103921286306	0.3304631584051666
val	manual_baseline_f1664dd	Manual baseline	manual	maybe	0.1066666666666666	0.0133333333333333	0.05	0.0125	0.02	0.0	0.06
val	manual_warmup10_da0044c	Manual warmup	manual	yes	0.5533333333333333	0.7653333333333333	0.566887361061932	0.783132530120482	0.6564348869945594	0.5935136910810614	0.714774006684905
val	manual_warmup10_da0044c	Manual warmup	manual	no	0.34	0.2266666666666666	0.3371097842028074	0.2352941176470588	0.2730615319131134	0.2123081568657641	0.3285472975611848
val	manual_warmup10_da0044c	Manual warmup	manual	maybe	0.1066666666666666	0.008	0.0	0.0	0.0	0.0	0.0
val	random_accuracy_best_7e73835	Random accuracy best	random	yes	0.5533333333333333	0.976	0.5518979002292109	0.9734939759036144	0.7043102320697409	0.6331946055222567	0.7670094747305833
val	random_accuracy_best_7e73835	Random accuracy best	random	no	0.34	0.024	0.1416666666666666	0.0235294117647058	0.0403389830508474	0.0134443382467468	0.0699790574970185
val	random_accuracy_best_7e73835	Random accuracy best	random	maybe	0.1066666666666666	0.0	0.0	0.0	0.0	0.0	0.0
val	random_brier_best_8dc23be	Random Brier best	random	yes	0.5533333333333333	0.9306666666666666	0.5616536529327398	0.944578313253012	0.704185938629392	0.6373233116319378	0.764791797694741
val	random_brier_best_8dc23be	Random Brier best	random	no	0.34	0.0693333333333333	0.5743589743589743	0.0941176470588235	0.1517986868797631	0.0933285312802164	0.21117091460622
val	random_brier_best_8dc23be	Random Brier best	random	maybe	0.1066666666666666	0.0	0.0	0.0	0.0	0.0	0.0
val	random_macro_f1_best_8a1209b	Random macro-F1 best	random	yes	0.5533333333333333	0.8093333333333332	0.5632050619292499	0.8240963855421686	0.6687441625477356	0.6010165142895995	0.72659454931917
val	random_macro_f1_best_8a1209b	Random macro-F1 best	random	no	0.34	0.1826666666666666	0.392554578038449	0.203921568627451	0.2648738069989396	0.1835149033590225	0.3397246096131967
val	random_macro_f1_best_8a1209b	Random macro-F1 best	random	maybe	0.1066666666666666	0.008	0.0	0.0	0.0	0.0	0.0
val	random_primary_best_7147e14	Random primary	random	yes	0.5533333333333333	0.976	0.5560014074595355	0.980722891566265	0.7095634774757643	0.6408844032495921	0.7721152551246885
val	random_primary_best_7147e14	Random primary	random	no	0.34	0.024	0.3066666666666666	0.0352941176470588	0.0622083441755572	0.0214593631828243	0.1065852453622302
val	random_primary_best_7147e14	Random primary	random	maybe	0.1066666666666666	0.0	0.0	0.0	0.0	0.0	0.0
val	agent_aux_a20f5b7	Agent auxiliary	agent	yes	0.5533333333333333	0.6679999999999999	0.5663003540679279	0.6843373493975904	0.6157606621354239	0.5510894123462416	0.6748092170916358
val	agent_aux_a20f5b7	Agent auxiliary	agent	no	0.34	0.3013333333333333	0.391779601132649	0.3411764705882353	0.3547537921473013	0.2769300337242321	0.4246693615681711
val	agent_aux_a20f5b7	Agent auxiliary	agent	maybe	0.1066666666666666	0.0306666666666666	0.025	0.0125	0.0166666666666666	0.0	0.0516129032258064
val	tfidf_lr_selected	TF-IDF LR	traditional_baseline	yes	0.5533333333333333	0.58	0.5977011494252874	0.6265060240963856	0.611764705882353	0.5217391304347826	0.6947368421052631
val	tfidf_lr_selected	TF-IDF LR	traditional_baseline	no	0.34	0.4	0.3833333333333333	0.4509803921568627	0.4144144144144144	0.2916666666666667	0.5245901639344263
val	tfidf_lr_selected	TF-IDF LR	traditional_baseline	maybe	0.1066666666666666	0.02	0.3333333333333333	0.0625	0.1052631578947368	0.0	0.3157894736842105
val	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	yes	0.5533333333333333	0.4733333333333333	0.647887323943662	0.5542168674698795	0.5974025974025975	0.5	0.6832376759179181
val	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	no	0.34	0.4066666666666667	0.4918032786885246	0.5882352941176471	0.5357142857142858	0.4158415841584158	0.6412213740458015
val	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	maybe	0.1066666666666666	0.12	0.1666666666666666	0.1875	0.1764705882352941	0.0	0.3529411764705882
