task	split	comparison	metric	diff_left_minus_right	ci_low	ci_high	p_two_sided_sign	n_examples	n_bootstrap
pubmedqa	val	Agent auxiliary - Random primary	accuracy	-0.0586666666666666	-0.12	0.0013333333333332	0.0564	150	10000
pubmedqa	val	Agent auxiliary - Random primary	macro_f1	0.0718030997660233	0.0309573065493827	0.1096167513440351	0.0008	150	10000
pubmedqa	val	Agent auxiliary - Random primary	brier	0.0880694785240648	0.0483168044373124	0.1288032036906484	0.0	150	10000
pubmedqa	val	Agent auxiliary - Random primary	f1_yes	-0.0938028153403404	-0.1379063877025438	-0.0520184473184547	0.0	150	10000
pubmedqa	val	Agent auxiliary - Random primary	f1_no	0.292545447971744	0.2026140846354391	0.3737849474742769	0.0	150	10000
pubmedqa	val	Agent auxiliary - Random primary	f1_maybe	0.0166666666666666	0.0	0.0516129032258064	0.739	150	10000
pubmedqa	val	Agent auxiliary - Random macro-F1 best	accuracy	-0.0293333333333334	-0.0786666666666666	0.0186666666666666	0.234	150	10000
pubmedqa	val	Agent auxiliary - Random macro-F1 best	macro_f1	0.0178543838009055	-0.0202943108485015	0.0550377562881201	0.3576	150	10000
pubmedqa	val	Agent auxiliary - Random macro-F1 best	brier	0.030437430031585	-0.012844513933026	0.0739691498133832	0.1658	150	10000
pubmedqa	val	Agent auxiliary - Random macro-F1 best	f1_yes	-0.0529835004123117	-0.0960310019745139	-0.0116198671531954	0.0134	150	10000
pubmedqa	val	Agent auxiliary - Random macro-F1 best	f1_no	0.0898799851483617	0.0081656876309732	0.1695830961364781	0.0312	150	10000
pubmedqa	val	Agent auxiliary - Random macro-F1 best	f1_maybe	0.0166666666666666	0.0	0.0521739130434782	0.7322	150	10000
pubmedqa	val	Agent auxiliary - Random Brier best	accuracy	-0.0586666666666666	-0.1119999999999999	-0.0053333333333333	0.0284	150	10000
pubmedqa	val	Agent auxiliary - Random Brier best	macro_f1	0.0437321651467454	0.0090482847426947	0.0775673284537074	0.0162	150	10000
pubmedqa	val	Agent auxiliary - Random Brier best	brier	0.0847167398110287	0.047164237135991	0.1228901305921048	0.0	150	10000
pubmedqa	val	Agent auxiliary - Random Brier best	f1_yes	-0.0884252764939681	-0.1300824069472864	-0.0490825224120442	0.0	150	10000
pubmedqa	val	Agent auxiliary - Random Brier best	f1_no	0.2029551052675381	0.1277319562342665	0.27213682109092	0.0	150	10000
pubmedqa	val	Agent auxiliary - Random Brier best	f1_maybe	0.0166666666666666	0.0	0.0500403225806445	0.723	150	10000
pubmedqa	val	Agent auxiliary - Random accuracy best	accuracy	-0.0506666666666666	-0.1119999999999998	0.0093333333333333	0.1034	150	10000
pubmedqa	val	Agent auxiliary - Random accuracy best	macro_f1	0.0808439686096011	0.04385797978977	0.1147569230035859	0.0	150	10000
pubmedqa	val	Agent auxiliary - Random accuracy best	brier	0.0809347819971095	0.0434564415932965	0.1188469975250125	0.0002	150	10000
pubmedqa	val	Agent auxiliary - Random accuracy best	f1_yes	-0.0885495699343169	-0.1321907531325262	-0.0446076516602818	0.0002	150	10000
pubmedqa	val	Agent auxiliary - Random accuracy best	f1_no	0.3144148090964538	0.2399320054890711	0.3799703643256891	0.0	150	10000
