phase	split	config_name	group	seed	train_code_commit	source_commit	lm_val_bpb	pubmedqa_acc	pubmedqa_macro_f1	pubmedqa_brier	memory_gb	params_M	tokens_M	status	predictions	description	precision_yes	recall_yes	f1_yes	pred_frac_yes	precision_no	recall_no	f1_no	pred_frac_no	precision_maybe	recall_maybe	f1_maybe	pred_frac_maybe	macro_f1_from_predictions
prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	42	325e90f	random_primary_backbone_7147e14	1.930416	0.460000	0.317910	0.659266	0.2	16.7	7.0	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed42.tsv	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).	0.588235	0.602410	0.595238	0.566667	0.345455	0.372549	0.358491	0.366667	0.000000	0.000000	0.000000	0.066667	0.317910
prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	43	325e90f	random_primary_backbone_7147e14	1.871063	0.453333	0.330870	0.643373	0.2	16.7	6.6	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed43.tsv	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).	0.588235	0.481928	0.529801	0.453333	0.400000	0.549020	0.462810	0.466667	0.000000	0.000000	0.000000	0.080000	0.330870
prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	44	325e90f	random_primary_backbone_7147e14	1.893210	0.433333	0.306469	0.654987	0.2	16.7	6.6	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed44.tsv	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).	0.565217	0.469880	0.513158	0.460000	0.337662	0.509804	0.406250	0.513333	0.000000	0.000000	0.000000	0.026667	0.306469
prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	45	325e90f	random_primary_backbone_7147e14	2.153586	0.453333	0.307144	0.611980	0.2	16.7	7.8	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed45.tsv	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).	0.520408	0.614458	0.563536	0.653333	0.386364	0.333333	0.357895	0.293333	0.000000	0.000000	0.000000	0.053333	0.307144
prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	46	325e90f	random_primary_backbone_7147e14	2.160922	0.506667	0.338526	0.649067	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed46.tsv	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).	0.597938	0.698795	0.644444	0.646667	0.391304	0.352941	0.371134	0.306667	0.000000	0.000000	0.000000	0.046667	0.338526
prospective_aux_weight_20260506	val	prospective_aux_weight_0p10_20260506	prospective	42	325e90f	random_primary_backbone_7147e14	2.269356	0.440000	0.344280	0.664669	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p10_20260506_seed42.tsv	Prospective hypothesis-first validation-only run: random primary backbone with stronger delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.10).	0.576271	0.409639	0.478873	0.393333	0.348315	0.607843	0.442857	0.593333	0.500000	0.062500	0.111111	0.013333	0.344280
prospective_aux_weight_20260506	val	prospective_aux_weight_0p10_20260506	prospective	43	325e90f	random_primary_backbone_7147e14	2.078031	0.440000	0.278986	0.708382	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p10_20260506_seed43.tsv	Prospective hypothesis-first validation-only run: random primary backbone with stronger delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.10).	0.534653	0.650602	0.586957	0.673333	0.266667	0.235294	0.250000	0.300000	0.000000	0.000000	0.000000	0.026667	0.278986
prospective_aux_weight_20260506	val	prospective_aux_weight_0p10_20260506	prospective	44	325e90f	random_primary_backbone_7147e14	1.981203	0.493333	0.321992	0.654370	0.2	16.7	7.7	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p10_20260506_seed44.tsv	Prospective hypothesis-first validation-only run: random primary backbone with stronger delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.10).	0.556522	0.771084	0.646465	0.766667	0.290323	0.176471	0.219512	0.206667	0.250000	0.062500	0.100000	0.026667	0.321992
prospective_aux_weight_20260506	val	prospective_aux_weight_0p10_20260506	prospective	45	325e90f	random_primary_backbone_7147e14	2.596076	0.493333	0.351237	0.638298	0.2	16.7	7.9	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p10_20260506_seed45.tsv	Prospective hypothesis-first validation-only run: random primary backbone with stronger delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.10).	0.548077	0.686747	0.609626	0.693333	0.380952	0.313725	0.344086	0.280000	0.250000	0.062500	0.100000	0.026667	0.351237
prospective_aux_weight_20260506	val	prospective_aux_weight_0p10_20260506	prospective	46	325e90f	random_primary_backbone_7147e14	2.482058	0.453333	0.280349	0.669979	0.2	16.7	8.5	ok	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p10_20260506_seed46.tsv	Prospective hypothesis-first validation-only run: random primary backbone with stronger delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.10).	0.563107	0.698795	0.623656	0.686667	0.243902	0.196078	0.217391	0.273333	0.000000	0.000000	0.000000	0.040000	0.280349
