task	split	model	display_name	group	n_examples	n_seeds	metric	point	ci_low	ci_high	bootstrap_sd	n_bootstrap
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	accuracy	0.4666666666666667	0.38666666666666666	0.5466666666666666	0.04064097429375705	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	macro_f1	0.3952469054226686	0.31736318882225373	0.47197814444404806	0.039911498964810756	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	brier	0.8830000398189614	0.7517459559181848	1.016672943105904	0.06736955633823191	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	precision_yes	0.5769230769230769	0.463768115942029	0.6842105263157895	0.05604531622038727	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	recall_yes	0.5421686746987951	0.43243243243243246	0.6477272727272727	0.05456286219200245	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	f1_yes	0.5590062111801242	0.4615384615384615	0.6444444444444445	0.04710747829853987	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	precision_no	0.5	0.34782608695652173	0.6511627906976745	0.07822910013308762	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	recall_no	0.42	0.2857142857142857	0.5555555555555556	0.06976351293283876	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	f1_no	0.4565217391304348	0.3232160312805474	0.577319587628866	0.06489306810469546	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	precision_maybe	0.13333333333333333	0.030303030303030304	0.26666666666666666	0.06249552273388139	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	recall_maybe	0.23529411764705882	0.05555555555555555	0.46153846153846156	0.10656715508258532	10000
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	f1_maybe	0.1702127659574468	0.04164540816326533	0.31999999999999995	0.07378423051221548	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	accuracy	0.5533333333333333	0.47333333333333333	0.6333333333333333	0.04035221744052561	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	macro_f1	0.23748211731044352	0.21417797888386123	0.2585034013605442	0.011180409060580392	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	brier	0.8933333333333333	0.7333333333333333	1.0533333333333332	0.08070443488105122	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	precision_yes	0.5533333333333333	0.47333333333333333	0.6333333333333333	0.04035221744052561	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	recall_yes	1.0	1.0	1.0	0.0	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	f1_yes	0.7124463519313305	0.6425339366515836	0.7755102040816326	0.03354122718174118	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	precision_no	0.0	0.0	0.0	0.0	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	recall_no	0.0	0.0	0.0	0.0	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	f1_no	0.0	0.0	0.0	0.0	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	precision_maybe	0.0	0.0	0.0	0.0	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	recall_maybe	0.0	0.0	0.0	0.0	10000
pubmedqa	test	majority_train	Majority	baseline	150	1	f1_maybe	0.0	0.0	0.0	0.0	10000
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	accuracy	0.54	0.46	0.62	0.04067703837589448	10000
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	macro_f1	0.37517991364145215	0.31846655206941527	0.42760261613910905	0.027871981344937825	10000
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	brier	0.6652299051803003	0.664880005831966	0.6655989207296322	0.0001839939235461115	10000
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	precision_yes	0.627906976744186	0.5263157894736842	0.7282608695652174	0.05194574109538498	10000
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	recall_yes	0.6506024096385542	0.5443037974683544	0.75	0.05250792507698565	10000
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	f1_yes	0.6390532544378699	0.5490136298421807	0.7176470588235294	0.043302727575756025	10000
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	precision_no	0.4426229508196721	0.3188241106719367	0.5692307692307692	0.06446585828683422	10000
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	recall_no	0.54	0.3962165880503145	0.6739256825075832	0.07085734472713838	10000
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	f1_no	0.48648648648648646	0.36363636363636365	0.5937577351485148	0.05909305195558299	10000
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	precision_maybe	0.0	0.0	0.0	0.0	10000
