task	split	model	display_name	group	n_examples	n_seeds	accuracy	accuracy_ci_low	accuracy_ci_high	macro_f1	macro_f1_ci_low	macro_f1_ci_high	brier	brier_ci_low	brier_ci_high	precision_yes	precision_yes_ci_low	precision_yes_ci_high	recall_yes	recall_yes_ci_low	recall_yes_ci_high	f1_yes	f1_yes_ci_low	f1_yes_ci_high	precision_no	precision_no_ci_low	precision_no_ci_high	recall_no	recall_no_ci_low	recall_no_ci_high	f1_no	f1_no_ci_low	f1_no_ci_high	precision_maybe	precision_maybe_ci_low	precision_maybe_ci_high	recall_maybe	recall_maybe_ci_low	recall_maybe_ci_high	f1_maybe	f1_maybe_ci_low	f1_maybe_ci_high	precision_support	precision_support_ci_low	precision_support_ci_high	recall_support	recall_support_ci_low	recall_support_ci_high	f1_support	f1_support_ci_low	f1_support_ci_high	precision_contradict	precision_contradict_ci_low	precision_contradict_ci_high	recall_contradict	recall_contradict_ci_low	recall_contradict_ci_high	f1_contradict	f1_contradict_ci_low	f1_contradict_ci_high	precision_not_enough_info	precision_not_enough_info_ci_low	precision_not_enough_info_ci_high	recall_not_enough_info	recall_not_enough_info_ci_low	recall_not_enough_info_ci_high	f1_not_enough_info	f1_not_enough_info_ci_low	f1_not_enough_info_ci_high
pubmedqa	test	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	0.4666666666666667	0.38666666666666666	0.5466666666666666	0.3952469054226686	0.31736318882225373	0.47197814444404806	0.8830000398189614	0.7517459559181848	1.016672943105904	0.5769230769230769	0.463768115942029	0.6842105263157895	0.5421686746987951	0.43243243243243246	0.6477272727272727	0.5590062111801242	0.4615384615384615	0.6444444444444445	0.5	0.34782608695652173	0.6511627906976745	0.42	0.2857142857142857	0.5555555555555556	0.4565217391304348	0.3232160312805474	0.577319587628866	0.13333333333333333	0.030303030303030304	0.26666666666666666	0.23529411764705882	0.05555555555555555	0.46153846153846156	0.1702127659574468	0.04164540816326533	0.31999999999999995																											
pubmedqa	test	majority_train	Majority	baseline	150	1	0.5533333333333333	0.47333333333333333	0.6333333333333333	0.23748211731044352	0.21417797888386123	0.2585034013605442	0.8933333333333333	0.7333333333333333	1.0533333333333332	0.5533333333333333	0.47333333333333333	0.6333333333333333	1.0	1.0	1.0	0.7124463519313305	0.6425339366515836	0.7755102040816326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																											
pubmedqa	test	tfidf_lr_selected	TF-IDF LR	traditional_baseline	150	1	0.54	0.46	0.62	0.37517991364145215	0.31846655206941527	0.42760261613910905	0.6652299051803003	0.664880005831966	0.6655989207296322	0.627906976744186	0.5263157894736842	0.7282608695652174	0.6506024096385542	0.5443037974683544	0.75	0.6390532544378699	0.5490136298421807	0.7176470588235294	0.4426229508196721	0.3188241106719367	0.5692307692307692	0.54	0.3962165880503145	0.6739256825075832	0.48648648648648646	0.36363636363636365	0.5937577351485148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																											
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	agent	150	5	0.496	0.44266666666666665	0.5506666666666666	0.32906037364979723	0.29454396624123574	0.3618484416500783	0.6531670325836475	0.5909768419770683	0.7153593734478123	0.5663003540679279	0.4803885846853564	0.6527688176782691	0.6843373493975904	0.628235294117647	0.7375	0.6157606621354239	0.5510894123462416	0.6748092170916358	0.39177960113264904	0.28387725355482085	0.49935385393499804	0.3411764705882353	0.2692307692307693	0.4170212765957447	0.3547537921473013	0.2769300337242321	0.42466936156817114	0.025	0.0	0.08571428571428572	0.0125	0.0	0.04285714285714286	0.016666666666666666	0.0	0.05161290322580646																											
pubmedqa	val	frozen_biomedbert	Frozen BiomedBERT	biomedical_encoder	150	1	0.5266666666666666	0.44666666666666666	0.6066666666666667	0.43652915711739254	0.3559139167172004	0.5196661846090417	0.8099799996331404	0.6763422752604572	0.944085676283873	0.647887323943662	0.5342465753424658	0.7580645161290323	0.5542168674698795	0.4473684210526316	0.6593465045592705	0.5974025974025975	0.5	0.6832376759179181	0.4918032786885246	0.36665492957746476	0.6190476190476191	0.5882352941176471	0.4499744897959184	0.725	0.5357142857142858	0.4158415841584158	0.6412213740458015	0.16666666666666666	0.0	0.3572142857142847	0.1875	0.0	0.4117647058823529	0.17647058823529413	0.0	0.35294117647058826																											
pubmedqa	val	majority_train	Majority	baseline	150	1	0.5533333333333333	0.47333333333333333	0.6333333333333333	0.23748211731044352	0.21417797888386123	0.2585034013605442	0.8933333333333333	0.7333333333333333	1.0533333333333332	0.5533333333333333	0.47333333333333333	0.6333333333333333	1.0	1.0	1.0	0.7124463519313305	0.6425339366515836	0.7755102040816326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																											
pubmedqa	val	manual_baseline_f1664dd	Manual baseline	manual	150	5	0.5053333333333334	0.4453333333333333	0.5640000000000001	0.31046113579835455	0.2775351714730745	0.3411827771803714	0.6355831144464483	0.5704056690722326	0.7042679829649082	0.5510536803733304	0.4686204582247138	0.6324500958172665	0.7783132530120482	0.7308641975308642	0.8240000000000001	0.6446831563590558	0.5794125027391015	0.7026786638261788	0.3559463150929028	0.24643742068671942	0.4694385649819887	0.2156862745098039	0.16071428571428573	0.27442088463292297	0.26670025103600786	0.1963103921286306	0.3304631584051666	0.05	0.0	0.2	0.0125	0.0	0.04285714285714286	0.02	0.0	0.06																											
pubmedqa	val	manual_warmup10_da0044c	Manual warmup	manual	150	5	0.5133333333333333	0.45599999999999996	0.5733333333333333	0.30983213963589096	0.28172375738440203	0.33612853231259887	0.6409186391482298	0.5786652353683179	0.7018557368186273	0.566887361061932	0.48471770906273437	0.6501216504299121	0.783132530120482	0.7372093023255814	0.8270303636970303	0.6564348869945594	0.5935136910810614	0.714774006684905	0.33710978420280746	0.24211667644692828	0.43697109962406006	0.23529411764705888	0.1829787234042553	0.29	0.2730615319131134	0.21230815686576418	0.32854729756118484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																											
pubmedqa	val	random_accuracy_best_7e73835	Random accuracy best	random	150	5	0.5466666666666666	0.46799999999999997	0.624	0.2482164050401961	0.2229140888982248	0.27140181003179525	0.5722322505865379	0.5231611512112856	0.6234605086975719	0.5518979002292109	0.4698319874999866	0.6321569052246869	0.9734939759036145	0.9578947368421054	0.9873417721518987	0.7043102320697409	0.6331946055222567	0.7670094747305833	0.14166666666666666	0.05	0.24444444444444446	0.023529411764705882	0.007692307692307693	0.04285714285714286	0.04033898305084745	0.013444338246746812	0.0699790574970185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																											
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	random	150	5	0.5546666666666666	0.484	0.6266666666666667	0.2853282085030518	0.25515593548100257	0.3145447150399751	0.5684502927726187	0.5168810338889406	0.6210582815282912	0.5616536529327398	0.48263673699602994	0.6422120395127159	0.9445783132530121	0.9173333333333333	0.9682926829268294	0.704185938629392	0.6373233116319378	0.764791797694741	0.5743589743589743	0.2676753246753246	0.7032348484848484	0.09411764705882351	0.05714285714285714	0.1368469785575048	0.15179868687976314	0.09332853128021643	0.21117091460622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																											
