task	split	left	left_display	right	right_display	metric	diff_left_minus_right	ci_low	ci_high	bootstrap_sd	p_two_sided_sign	n_examples	n_bootstrap
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	accuracy	-0.058666666666666645	-0.12	0.0013333333333332988	0.030825563532003684	0.0564	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	macro_f1	0.07180309976602339	0.03095730654938271	0.10961675134403516	0.020017656466418288	0.0008	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	brier	0.08806947852406488	0.04831680443731243	0.12880320369064846	0.0206175044392811	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	precision_yes	0.010298946608392368	-0.023694325143347867	0.04371287349196086	0.017145210752575104	0.5452	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	recall_yes	-0.29638554216867463	-0.35189873417721507	-0.24235294117647077	0.02818002391025016	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	f1_yes	-0.0938028153403404	-0.13790638770254382	-0.05201844731845477	0.02198800342280626	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	precision_no	0.08511293446598239	-0.09392745467790764	0.27294955536046267	0.09359697030295966	0.336	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	recall_no	0.3058823529411765	0.22857142857142854	0.3824599542334095	0.03944338060021604	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	f1_no	0.29254544797174403	0.2026140846354391	0.37378494747427693	0.043220638765833014	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	precision_maybe	0.025	0.0	0.08571428571428572	0.025533955078020438	0.739	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	recall_maybe	0.0125	0.0	0.042105263157894736	0.012387225558758904	0.739	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_primary_best_7147e14	Random primary	f1_maybe	0.016666666666666666	0.0	0.05161290322580645	0.01543462650613986	0.739	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	accuracy	-0.029333333333333433	-0.07866666666666666	0.01866666666666661	0.024676508030116655	0.234	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	macro_f1	0.017854383800905538	-0.02029431084850156	0.05503775628812012	0.019179704870507013	0.3576	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	brier	0.030437430031585055	-0.012844513933026014	0.07396914981338329	0.02214002533601533	0.1658	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	precision_yes	0.0030952921386779852	-0.029842523026711542	0.03570104853963172	0.016709005384504722	0.841	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	recall_yes	-0.13975903614457819	-0.20500000000000007	-0.07674418604651168	0.03239922663317088	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	f1_yes	-0.0529835004123117	-0.09603100197451395	-0.011619867153195471	0.02148476336273561	0.0134	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	precision_no	-0.0007749769057999734	-0.10153939941760988	0.10027487159358763	0.051520931643162314	0.9796	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	recall_no	0.1372549019607843	0.05769067796610166	0.21538461538461542	0.03986107309822571	0.0012	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	f1_no	0.08987998514836171	0.008165687630973239	0.16958309613647818	0.04119825425342697	0.0312	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	precision_maybe	0.025	0.0	0.08571428571428572	0.02534694611446048	0.7322	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	recall_maybe	0.0125	0.0	0.04285714285714286	0.012606928487697669	0.7322	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_macro_f1_best_8a1209b	Random macro-F1 best	f1_maybe	0.016666666666666666	0.0	0.05217391304347826	0.015584879998761009	0.7322	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	accuracy	-0.058666666666666645	-0.11199999999999999	-0.005333333333333355	0.027133802129316684	0.0284	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	macro_f1	0.04373216514674544	0.009048284742694767	0.07756732845370744	0.017696373670841602	0.0162	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	brier	0.08471673981102879	0.04716423713599108	0.12289013059210485	0.01920661393805864	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	precision_yes	0.004646701135188058	-0.02762213222370448	0.03621575993813187	0.01623023050476333	0.7796	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	recall_yes	-0.2602409638554217	-0.31750367647058836	-0.20658986175115207	0.028430138739941702	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	f1_yes	-0.08842527649396814	-0.13008240694728643	-0.04908252241204425	0.02072886477205344	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	precision_no	-0.18257937322632528	-0.291073387856	0.10586300242637	0.11072368249784008	0.4106	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	recall_no	0.24705882352941178	0.1789473684210526	0.3153846153846154	0.03462854875173482	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	f1_no	0.20295510526753816	0.1277319562342665	0.27213682109092	0.037300444549016924	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	precision_maybe	0.025	0.0	0.08	0.02503831791272493	0.723	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	recall_maybe	0.0125	0.0	0.042105263157894736	0.012552808364040716	0.723	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_brier_best_8dc23be	Random Brier best	f1_maybe	0.016666666666666666	0.0	0.050040322580644586	0.015376962036354067	0.723	150	10000
