run_id	source_file	phase	split	config_name	group	seed	commit	source_commit	selection_stage	opened_test	metrics_file	prediction_file	status	description
search_000_f1664dd	results_biomed.tsv	single_run_search	val	single_run_f1664dd	manual		f1664dd	f1664dd	search_validation	false	results_biomed.tsv		keep	baseline PubMedQA harness
search_001_30d95ec	results_biomed.tsv	single_run_search	val	single_run_30d95ec	manual		30d95ec	30d95ec	search_validation	false	results_biomed.tsv		discard	lower embedding lr from 0.6 to 0.3
search_002_2d3b05c	results_biomed.tsv	single_run_search	val	single_run_2d3b05c	manual		2d3b05c	2d3b05c	search_validation	false	results_biomed.tsv		discard	reduce depth from 4 to 3
search_003_7ff447f	results_biomed.tsv	single_run_search	val	single_run_7ff447f	manual		7ff447f	7ff447f	search_validation	false	results_biomed.tsv		discard	lower matrix lr from 0.04 to 0.02
search_004_07255c3	results_biomed.tsv	single_run_search	val	single_run_07255c3	manual		07255c3	07255c3	search_validation	false	results_biomed.tsv		keep	add 5 percent learning rate warmup
search_005_da0044c	results_biomed.tsv	single_run_search	val	single_run_da0044c	manual		da0044c	da0044c	search_validation	false	results_biomed.tsv		keep	increase warmup from 5 percent to 10 percent
search_006_dfbb49d	results_biomed.tsv	single_run_search	val	single_run_dfbb49d	random		dfbb49d	dfbb49d	search_validation	false	results_biomed.tsv		discard	random search: WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.35, FINAL_LR_FRAC=0.10, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.006, MATRIX_LR=0.05, WEIGHT_DECAY=0.3, TOTAL_BATCH_SIZE=2**15, DEPTH=4
search_007_7e73835	results_biomed.tsv	single_run_search	val	single_run_7e73835	random		7e73835	7e73835	search_validation	false	results_biomed.tsv		keep	random search: WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.05, WEIGHT_DECAY=0.1, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_008_8a1209b	results_biomed.tsv	single_run_search	val	single_run_8a1209b	random		8a1209b	8a1209b	search_validation	false	results_biomed.tsv		discard	random search: WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.10, EMBEDDING_LR=0.60, UNEMBEDDING_LR=0.006, MATRIX_LR=0.04, WEIGHT_DECAY=0.2, TOTAL_BATCH_SIZE=2**15, DEPTH=5
search_009_615592f	results_biomed.tsv	single_run_search	val	single_run_615592f	random		615592f	615592f	search_validation	false	results_biomed.tsv		discard	random search: WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.35, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.45, UNEMBEDDING_LR=0.004, MATRIX_LR=0.03, WEIGHT_DECAY=0.2, TOTAL_BATCH_SIZE=2**15, DEPTH=4
