model	split	n	acc	macro_f1	brier	f1_yes	f1_no	f1_maybe
majority_train	val	150	0.5533333333333333	0.23748211731044352	0.8933333333333333	0.7124463519313305	0.0	0.0
majority_train	test	150	0.5533333333333333	0.23748211731044352	0.8933333333333333	0.7124463519313305	0.0	0.0
tfidf_lr_c0.01_ng11_cwnone	val	150	0.5533333333333333	0.23748211731044352	0.5667524822637034	0.7124463519313305	0.0	0.0
tfidf_lr_c0.01_ng12_cwnone	val	150	0.5533333333333333	0.23748211731044352	0.5667503883121955	0.7124463519313305	0.0	0.0
tfidf_lr_c0.1_ng11_cwnone	val	150	0.5533333333333333	0.23748211731044352	0.5661179236415306	0.7124463519313305	0.0	0.0
tfidf_lr_c0.1_ng12_cwnone	val	150	0.5533333333333333	0.23748211731044352	0.5659537083360041	0.7124463519313305	0.0	0.0
tfidf_lr_c1.0_ng11_cwnone	val	150	0.52	0.24906270675586265	0.5705809950993964	0.6816143497757847	0.06557377049180327	0.0
tfidf_lr_c1.0_ng12_cwnone	val	150	0.5533333333333333	0.26005028450443296	0.5662042061867004	0.7074235807860262	0.07272727272727272	0.0
tfidf_lr_c10.0_ng11_cwnone	val	150	0.5466666666666666	0.33760961671100603	0.6117496546852222	0.6834170854271356	0.32941176470588235	0.0
tfidf_lr_c10.0_ng12_cwnone	val	150	0.54	0.31528340080971656	0.5911613933469951	0.6826923076923076	0.2631578947368421	0.0
tfidf_lr_c0.01_ng11_cwbalanced	val	150	0.43333333333333335	0.33151649981460884	0.6653356980605702	0.5290322580645161	0.39655172413793105	0.06896551724137931
tfidf_lr_c0.01_ng12_cwbalanced	val	150	0.5066666666666667	0.3771474260638348	0.6653418246990505	0.611764705882353	0.41441441441441446	0.10526315789473684
tfidf_lr_c0.1_ng11_cwbalanced	val	150	0.4666666666666667	0.3516457811194654	0.6545988925339506	0.5714285714285715	0.4035087719298246	0.08
tfidf_lr_c0.1_ng12_cwbalanced	val	150	0.5133333333333333	0.345404984423676	0.6544788216945328	0.625	0.4112149532710281	0.0
tfidf_lr_c1.0_ng11_cwbalanced	val	150	0.4866666666666667	0.3583292816883655	0.6119254106784345	0.6011560693641618	0.37383177570093457	0.1
tfidf_lr_c1.0_ng12_cwbalanced	val	150	0.52	0.3416029143897997	0.6062319053304457	0.644808743169399	0.38	0.0
tfidf_lr_c10.0_ng11_cwbalanced	val	150	0.5133333333333333	0.3363239528187982	0.6105360513490048	0.6378378378378378	0.3711340206185567	0.0
tfidf_lr_c10.0_ng12_cwbalanced	val	150	0.5333333333333333	0.3480529981439624	0.5892484977719715	0.6524064171122996	0.39175257731958757	0.0
tfidf_lr_c0.01_ng12_cwbalanced_selected_on_val	test	150	0.54	0.37517991364145215	0.6652299051803001	0.6390532544378699	0.48648648648648646	0.0
