model	split	n	acc	macro_f1	brier	f1_support	f1_contradict	f1_not_enough_info
majority_train	inner_val	184	0.40217391304347827	0.19121447028423774	1.1956521739130435	0.5736434108527132	0.0	0.0
majority_train	dev	339	0.40707964601769914	0.19287211740041932	1.1858407079646018	0.578616352201258	0.0	0.0
tfidf_lr_c0.01_ng11_cwnone	inner_val	184	0.40217391304347827	0.19121447028423774	0.6416689321590701	0.5736434108527132	0.0	0.0
tfidf_lr_c0.01_ng12_cwnone	inner_val	184	0.40217391304347827	0.19121447028423774	0.64210940998339	0.5736434108527132	0.0	0.0
tfidf_lr_c0.1_ng11_cwnone	inner_val	184	0.5706521739130435	0.42964554242749736	0.6227603494127963	0.6122448979591837	0.0	0.6766917293233083
tfidf_lr_c0.1_ng12_cwnone	inner_val	184	0.5815217391304348	0.4381218905472637	0.6243490889013671	0.6268656716417911	0.0	0.6875
tfidf_lr_c1.0_ng11_cwnone	inner_val	184	0.5380434782608695	0.4466735852320078	0.5786971992333612	0.5465116279069767	0.11764705882352941	0.6758620689655171
tfidf_lr_c1.0_ng12_cwnone	inner_val	184	0.5271739130434783	0.43189003478604177	0.5707771221162442	0.5348837209302325	0.07547169811320754	0.6853146853146853
tfidf_lr_c10.0_ng11_cwnone	inner_val	184	0.5	0.4573067793324526	0.6427941303994374	0.46540880503144655	0.22535211267605634	0.6811594202898551
tfidf_lr_c10.0_ng12_cwnone	inner_val	184	0.532608695652174	0.471347199913615	0.6156246514615661	0.524390243902439	0.1846153846153846	0.7050359712230215
tfidf_lr_c0.01_ng11_cwbalanced	inner_val	184	0.5163043478260869	0.48429714135851043	0.6631938396399683	0.4193548387096775	0.37499999999999994	0.6585365853658537
tfidf_lr_c0.01_ng12_cwbalanced	inner_val	184	0.5108695652173914	0.4772872833450686	0.6640342102108453	0.3870967741935484	0.3529411764705882	0.6918238993710693
tfidf_lr_c0.1_ng11_cwbalanced	inner_val	184	0.4891304347826087	0.45816052227342546	0.6420053720264615	0.3548387096774193	0.3571428571428571	0.6625
tfidf_lr_c0.1_ng12_cwbalanced	inner_val	184	0.5163043478260869	0.48933475198865084	0.6452138165012383	0.4031007751937985	0.37209302325581395	0.69281045751634
tfidf_lr_c1.0_ng11_cwbalanced	inner_val	184	0.5108695652173914	0.49084053201700256	0.597917283454908	0.4195804195804196	0.3529411764705882	0.7
tfidf_lr_c1.0_ng12_cwbalanced	inner_val	184	0.5163043478260869	0.4899539042870991	0.5906808179247488	0.4428571428571429	0.3373493975903615	0.689655172413793
tfidf_lr_c10.0_ng11_cwbalanced	inner_val	184	0.4945652173913043	0.47478809614800443	0.6526519963156108	0.4137931034482759	0.32941176470588235	0.6811594202898551
tfidf_lr_c10.0_ng12_cwbalanced	inner_val	184	0.5108695652173914	0.481758629377677	0.6229914649487046	0.4489795918367347	0.29629629629629634	0.7
tfidf_lr_c1.0_ng11_cwbalanced_selected_on_inner_train	dev	339	0.45722713864306785	0.42640402910016645	0.6475073397103112	0.3643410852713178	0.2278481012658228	0.6870229007633587
