commit	val_bpb	pubmedqa_acc	pubmedqa_macro_f1	pubmedqa_brier	memory_gb	params_M	tokens_M	status	description
f1664dd	2.396699	0.526667	0.319719	0.647955	0.0	7.3	14.7	keep	baseline PubMedQA harness
30d95ec	2.432158	0.533333	0.330749	0.652467	0.0	7.3	14.3	discard	lower embedding lr from 0.6 to 0.3
2d3b05c	2.591459	0.533333	0.350563	0.742039	0.0	6.6	17.5	discard	reduce depth from 4 to 3
7ff447f	2.436828	0.486667	0.305712	0.668869	0.0	7.3	14.7	discard	lower matrix lr from 0.04 to 0.02
07255c3	2.345113	0.520000	0.287950	0.596628	0.0	7.3	14.0	keep	add 5 percent learning rate warmup
da0044c	2.305425	0.500000	0.296806	0.671487	0.0	7.3	14.2	keep	increase warmup from 5 percent to 10 percent
dfbb49d	3.025284	0.526667	0.362889	0.729325	0.0	7.3	13.5	discard	random search: WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.35, FINAL_LR_FRAC=0.10, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.006, MATRIX_LR=0.05, WEIGHT_DECAY=0.3, TOTAL_BATCH_SIZE=2**15, DEPTH=4
7e73835	1.979251	0.586667	0.310853	0.569937	0.0	16.7	8.0	keep	random search: WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.05, WEIGHT_DECAY=0.1, TOTAL_BATCH_SIZE=2**16, DEPTH=5
8a1209b	2.400482	0.553333	0.426346	0.632989	0.0	16.7	7.8	discard	random search: WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.10, EMBEDDING_LR=0.60, UNEMBEDDING_LR=0.006, MATRIX_LR=0.04, WEIGHT_DECAY=0.2, TOTAL_BATCH_SIZE=2**15, DEPTH=5
615592f	2.620397	0.493333	0.329738	0.688910	0.0	7.3	15.0	discard	random search: WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.35, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.45, UNEMBEDDING_LR=0.004, MATRIX_LR=0.03, WEIGHT_DECAY=0.2, TOTAL_BATCH_SIZE=2**15, DEPTH=4
0337323	2.135190	0.553333	0.237482	0.571934	0.0	26.2	6.1	discard	random phase2 #001: ASPECT_RATIO=80, WARMUP_RATIO=0.12, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.002, MATRIX_LR=0.055, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=5
2529860	2.004444	0.553333	0.237482	0.569593	0.0	26.2	5.5	discard	random phase2 #002: ASPECT_RATIO=80, WARMUP_RATIO=0.08, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.003, MATRIX_LR=0.055, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=5
7147e14	1.802148	0.560000	0.251326	0.566909	0.0	16.7	7.2	keep	random phase2 #003: ASPECT_RATIO=64, WARMUP_RATIO=0.12, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.002, MATRIX_LR=0.045, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=5
4578c0d	1.951982	0.553333	0.237482	0.561428	0.0	18.5	6.3	discard	random phase2 #004: ASPECT_RATIO=64, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.004, MATRIX_LR=0.055, WEIGHT_DECAY=0.1, TOTAL_BATCH_SIZE=2**16, DEPTH=6
d81eedb	1.977960	0.553333	0.237482	0.566036	0.0	18.5	6.3	discard	random phase2 #005: ASPECT_RATIO=64, WARMUP_RATIO=0.12, WARMDOWN_RATIO=0.60, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.002, MATRIX_LR=0.05, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=6
15f2a1d	1.961434	0.553333	0.237482	0.573194	0.0	16.7	7.2	discard	random phase2 #006: ASPECT_RATIO=64, WARMUP_RATIO=0.15, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.85, UNEMBEDDING_LR=0.003, MATRIX_LR=0.055, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=5
46c8f34	1.948955	0.553333	0.237482	0.567361	0.0	29.4	4.6	discard	random phase2 #007: ASPECT_RATIO=80, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.85, UNEMBEDDING_LR=0.003, MATRIX_LR=0.05, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=6
7118c52	2.123198	0.553333	0.237482	0.571867	0.0	26.2	5.2	discard	random phase2 #008: ASPECT_RATIO=80, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.002, MATRIX_LR=0.045, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=5
4849400	1.837115	0.553333	0.237482	0.569045	0.0	16.7	7.1	discard	random phase2 #009: ASPECT_RATIO=64, WARMUP_RATIO=0.15, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.002, MATRIX_LR=0.05, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=5
b2787bf	1.901350	0.553333	0.237482	0.572177	0.0	18.5	6.3	discard	random phase2 #010: ASPECT_RATIO=64, WARMUP_RATIO=0.12, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.055, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=6
ec62eb0	1.876264	0.553333	0.237482	0.570757	0.0	16.7	7.2	discard	random phase2 #011: ASPECT_RATIO=64, WARMUP_RATIO=0.08, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.002, MATRIX_LR=0.05, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=5
e455a7c	1.932447	0.553333	0.237482	0.566935	0.0	26.2	5.2	discard	random phase2 #012: ASPECT_RATIO=80, WARMUP_RATIO=0.15, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.85, UNEMBEDDING_LR=0.004, MATRIX_LR=0.05, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=5
8dc23be	1.946446	0.566667	0.275480	0.553283	0.0	16.7	7.1	discard	random phase2 #013: ASPECT_RATIO=64, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.055, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=5
e26a736	1.953376	0.553333	0.237482	0.567286	0.0	29.4	4.6	discard	random phase2 #014: ASPECT_RATIO=80, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.05, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=6
ab28db7	1.970908	0.553333	0.237482	0.569118	0.0	18.5	6.3	discard	random phase2 #015: ASPECT_RATIO=64, WARMUP_RATIO=0.08, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.002, MATRIX_LR=0.05, WEIGHT_DECAY=0.1, TOTAL_BATCH_SIZE=2**16, DEPTH=6
56e7cb2	1.857842	0.553333	0.237482	0.569781	0.0	18.5	6.4	discard	random phase2 #016: ASPECT_RATIO=64, WARMUP_RATIO=0.08, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.055, WEIGHT_DECAY=0.1, TOTAL_BATCH_SIZE=2**16, DEPTH=6
97d4f4e	2.019374	0.553333	0.237482	0.566941	0.0	29.4	4.7	discard	random phase2 #017: ASPECT_RATIO=80, WARMUP_RATIO=0.08, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.045, WEIGHT_DECAY=0.1, TOTAL_BATCH_SIZE=2**16, DEPTH=6
3a90685	1.871193	0.553333	0.237482	0.565584	0.0	18.5	6.4	discard	random phase2 #018: ASPECT_RATIO=64, WARMUP_RATIO=0.12, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.004, MATRIX_LR=0.055, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=6
e062324	2.243945	0.553333	0.237482	0.575974	0.0	26.2	5.3	discard	random phase2 #019: ASPECT_RATIO=80, WARMUP_RATIO=0.15, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.05, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=5
834b221	2.045881	0.540000	0.233766	0.564525	0.0	18.5	7.2	discard	random phase2 #020: ASPECT_RATIO=64, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.85, UNEMBEDDING_LR=0.003, MATRIX_LR=0.05, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=6
b9103a1	1.862049	0.506667	0.335294	0.638085	0.0	16.7	6.1	discard	agent search #001: class-balanced answer-label auxiliary loss, QA_AUX_WEIGHT=0.15, QA_AUX_BATCH_SIZE=4
a20f5b7	1.763899	0.540000	0.402165	0.596773	0.0	16.7	6.6	keep	agent search #002: delayed weak class-balanced answer-label auxiliary loss, QA_AUX_WEIGHT=0.05, QA_AUX_BATCH_SIZE=4, QA_AUX_START_PROGRESS=0.5
